[COT 2021-09-07 13:01:29] 76561197990717655: Set GodMode To true [guid=AdNx87DNyRrGmm24ZM9mjIls2ZAvXQ5GmHdee6aK1-0=]
[COT 2021-09-07 13:01:47] 76561197990717655: Set rain to 0.9 0 0
[COT 2021-09-07 13:01:47] 76561197990717655: Set storm to 0.81 0.8 4000
[COT 2021-09-07 13:01:47] 76561197990717655: Set fog to 0 0 0
[COT 2021-09-07 13:01:47] 76561197990717655: Set overcast to 0.96 0 0
[COT 2021-09-07 13:01:47] 76561197990717655: Set the date to 2011/12/4 12:25
[COT 2021-09-07 13:01:47] 76561197990717655: Set wind to 17.9244 17.9244 1
[COT 2021-09-07 13:02:15] 76561197990717655: Set rain to 0.9 0 0
[COT 2021-09-07 13:02:15] 76561197990717655: Set storm to 0.81 0.8 4000
[COT 2021-09-07 13:02:15] 76561197990717655: Set fog to 0.83 0 0
[COT 2021-09-07 13:02:15] 76561197990717655: Set overcast to 0.960568 0 0
[COT 2021-09-07 13:02:15] 76561197990717655: Set the date to 2011/12/4 12:25
[COT 2021-09-07 13:02:15] 76561197990717655: Set wind to 60 60 1
[COT 2021-09-07 13:02:27] 76561197990717655: Set rain to 0.99 0 0
[COT 2021-09-07 13:02:27] 76561197990717655: Set storm to 0.9801 0.8 4000
[COT 2021-09-07 13:02:27] 76561197990717655: Set fog to 0.99 0 0
[COT 2021-09-07 13:02:27] 76561197990717655: Set overcast to 0.98 0 0
[COT 2021-09-07 13:02:27] 76561197990717655: Set the date to 2011/12/4 23:1
[COT 2021-09-07 13:02:27] 76561197990717655: Set wind to 60 60 1
